Cliente,Dirección,Latitud,Longitud,Teléfono,Correo electrónico,Fecha,Mes,Cantidad_entregas
6,Calle 25 de Mayo 3296,-34.695345,-58.518125,+34 721 91 94 67,nroman@aznar.es,2025-07-01,7,1
7,Avenida Santa Fe 9764,-34.724676,-58.377437,+34 747 767 107,remediosisern@acuna-suarez.es,2025-06-10,6,1
11,Avenida Corrientes 682,-34.650532,-58.5501,+34 945 684 919,tejerolupita@aleman.es,2025-07-07,7,1
12,Avenida del Libertador 4626,-34.792957,-58.367901,+34 718892446,smateu@riba.es,2025-08-01,8,1
14,Calle Segurola 3213,-34.872482,-58.307878,+34 962 03 31 90,bpujol@perez.es,2025-05-29,5,1
17,Calle Belgrano 3031,-34.728926,-58.543172,+34 728554566,fcollado@cabeza-vega.es,2025-05-24,5,1
20,Calle Emilio Castro 8484,-34.695325,-58.542806,+34 730 338 982,oliviafolch@saez.net,2025-05-30,5,1
22,Calle Emilio Castro 6300,-34.753909,-58.48252,+34 745910347,jeronimo96@gmail.com,2025-05-14,5,1
23,Avenida Corrientes 2623,-34.673205,-58.420893,+34668834396,loreto91@tormo.com,2025-08-01,8,1
35,Avenida del Libertador 3765,-34.69587,-58.348872,+34673396926,guiomargarmendia@trujillo.es,2025-07-03,7,1
38,Avenida Corrientes 3452,-34.764381,-58.501174,+34734 90 54 10,africacervera@galvez-canizares.com,2025-09-18,9,1
39,Avenida del Libertador 8218,-34.7896,-58.387203,+34735741137,jguitart@hotmail.com,2025-06-24,6,1
45,Calle Lavalle 7687,-34.882117,-58.393645,+34 946708280,lilianainiguez@yahoo.com,2025-06-10,6,1
55,Calle Rivera Indarte 2223,-34.885571,-58.513177,+34 743 81 01 86,imanso@hotmail.com,2025-07-26,7,1
70,Calle Lavalle 1028,-34.6295,-58.448508,+34620 675 616,rosalesjosefina@yahoo.com,2025-05-31,5,1
72,Calle 25 de Mayo 2981,-34.887338,-58.40347,+34 746 92 48 87,cintiavara@moll-palacio.net,2025-10-28,10,1
76,Calle Belgrano 5892,-34.629471,-58.582034,+34727944566,pinaandres-felipe@cano.com,2025-08-07,8,1
76,Calle Emilio Castro 6859,-34.805433,-58.413396,+34 923 47 89 75,iandreu@llamas.es,2025-08-16,8,1
82,Calle Emilio Castro 6267,-34.697852,-58.406822,+34 730273504,marigervasio@hotmail.com,2025-10-28,10,1
