Cliente,Dirección,Latitud,Longitud,Teléfono de contacto,Correo electrónico de contacto,Mes,Fecha
Cliente 1,"Av. Libertador 15000, San Isidro",-34.539824,-58.636064,1160000001,cte1@duff.com.ar,May 2025,2025-05-01
Cliente 2,"Av. Maipú 300, Vicente López",-34.592623,-58.506174,1160000002,cte2@duff.com.ar,May 2025,2025-05-01
Cliente 3,"Av. Mitre 200, Quilmes",-34.499464,-58.729408,1160000003,cte3@duff.com.ar,May 2025,2025-05-01
Cliente 4,"Av. Mitre 200, Quilmes",-34.544271,-58.386694,1160000004,cte4@duff.com.ar,May 2025,2025-05-01
Cliente 5,"San Martín 800, Lanús",-34.552088,-58.692042,1160000005,cte5@duff.com.ar,May 2025,2025-05-01
Cliente 6,"Av. Libertador 15000, San Isidro",-34.502109,-58.35574,1160000006,cte6@duff.com.ar,May 2025,2025-05-01
Cliente 7,"Av. Corrientes 1234, CABA",-34.551589,-58.481146,1160000007,cte7@duff.com.ar,May 2025,2025-05-01
Cliente 8,"Av. Calchaquí 2300, Quilmes",-34.447676,-58.654945,1160000008,cte8@duff.com.ar,May 2025,2025-05-01
Cliente 9,"Av. Libertador 15000, San Isidro",-34.454357,-58.602887,1160000009,cte9@duff.com.ar,May 2025,2025-05-01
Cliente 10,"Av. Santa Fe 2300, Palermo",-34.473539,-58.496588,1160000010,cte10@duff.com.ar,May 2025,2025-05-01
Cliente 11,"Av. Corrientes 1234, CABA",-34.492845,-58.713884,1160000011,cte11@duff.com.ar,May 2025,2025-05-01
Cliente 12,"Belgrano 500, Morón",-34.43294,-58.621688,1160000012,cte12@duff.com.ar,May 2025,2025-05-01
Cliente 13,"Calle 12 y 44, La Plata",-34.562696,-58.73369,1160000013,cte13@duff.com.ar,May 2025,2025-05-01
Cliente 14,"Av. Rivadavia 1000, CABA",-34.481821,-58.478974,1160000014,cte14@duff.com.ar,May 2025,2025-05-01
Cliente 15,"Av. Rivadavia 1000, CABA",-34.596682,-58.545163,1160000015,cte15@duff.com.ar,May 2025,2025-05-01
Cliente 16,"Av. Corrientes 1234, CABA",-34.554701,-58.491931,1160000016,cte16@duff.com.ar,May 2025,2025-05-01
Cliente 17,"Av. Mitre 200, Quilmes",-34.565127,-58.473625,1160000017,cte17@duff.com.ar,May 2025,2025-05-01
Cliente 18,"Av. Mitre 200, Quilmes",-34.522653,-58.375308,1160000018,cte18@duff.com.ar,May 2025,2025-05-01
Cliente 19,"Av. Santa Fe 2300, Palermo",-34.572496,-58.613573,1160000019,cte19@duff.com.ar,May 2025,2025-05-01
Cliente 20,"Belgrano 500, Morón",-34.577305,-58.380123,1160000020,cte20@duff.com.ar,May 2025,2025-05-01
Cliente 21,"Av. Rivadavia 1000, CABA",-34.424532,-58.646823,1160000021,cte21@duff.com.ar,May 2025,2025-05-01
Cliente 22,"Av. Santa Fe 2300, Palermo",-34.468003,-58.423111,1160000022,cte22@duff.com.ar,May 2025,2025-05-01
Cliente 23,"Av. Mitre 200, Quilmes",-34.48896,-58.53814,1160000023,cte23@duff.com.ar,May 2025,2025-05-01
Cliente 24,"Av. Libertador 15000, San Isidro",-34.55163,-58.712759,1160000024,cte24@duff.com.ar,May 2025,2025-05-01
Cliente 25,"Av. Calchaquí 2300, Quilmes",-34.420557,-58.389833,1160000025,cte25@duff.com.ar,May 2025,2025-05-01
Cliente 26,"Av. Libertador 15000, San Isidro",-34.47338,-58.614388,1160000026,cte26@duff.com.ar,May 2025,2025-05-01
Cliente 27,"Av. Santa Fe 2300, Palermo",-34.530158,-58.459618,1160000027,cte27@duff.com.ar,May 2025,2025-05-01
Cliente 28,"Calle 12 y 44, La Plata",-34.420578,-58.395165,1160000028,cte28@duff.com.ar,May 2025,2025-05-01
Cliente 29,"Av. Mitre 200, Quilmes",-34.444025,-58.493187,1160000029,cte29@duff.com.ar,May 2025,2025-05-01
Cliente 30,"Av. Hipólito Yrigoyen 16000, Lomas",-34.583172,-58.685349,1160000030,cte30@duff.com.ar,May 2025,2025-05-01
Cliente 31,"Belgrano 500, Morón",-34.420289,-58.507428,1160000031,cte31@duff.com.ar,May 2025,2025-05-01
Cliente 32,"Av. Maipú 300, Vicente López",-34.598161,-58.709411,1160000032,cte32@duff.com.ar,May 2025,2025-05-01
Cliente 33,"Av. Rivadavia 1000, CABA",-34.4673,-58.747975,1160000033,cte33@duff.com.ar,May 2025,2025-05-01
