Cliente,Dirección,Latitud,Longitud,Teléfono,Correo,Fecha
64886,Calle Falsa 122,-34.60276528602343,-58.394419174156,+54 9 11 98358551,cliente64886@ejemplo.com,2025-05-01
51090,Calle Falsa 662,-34.57978969430387,-58.39840336375568,+54 9 11 14521373,cliente51090@ejemplo.com,2025-05-01
77969,Calle Falsa 192,-34.603190330033144,-58.39955556346776,+54 9 11 72250665,cliente77969@ejemplo.com,2025-05-01
28431,Calle Falsa 476,-34.60855585827207,-58.3955584219687,+54 9 11 42049003,cliente28431@ejemplo.com,2025-05-01
66886,Calle Falsa 244,-34.615359530038866,-58.4108876544905,+54 9 11 69248434,cliente66886@ejemplo.com,2025-05-01
51606,Calle Falsa 21,-34.5977815482058,-58.40586798292717,+54 9 11 30193880,cliente51606@ejemplo.com,2025-05-01
53001,Calle Falsa 777,-34.600596771387195,-58.3844161473097,+54 9 11 79778859,cliente53001@ejemplo.com,2025-05-01
27159,Calle Falsa 943,-34.622021955126996,-58.40772945901129,+54 9 11 36939239,cliente27159@ejemplo.com,2025-05-01
29457,Calle Falsa 390,-34.623175404838506,-58.39354000405443,+54 9 11 10271836,cliente29457@ejemplo.com,2025-05-01
55758,Calle Falsa 402,-34.62786833881746,-58.39562723367892,+54 9 11 77105583,cliente55758@ejemplo.com,2025-05-01
21534,Calle Falsa 456,-34.58236477922103,-58.384289357510035,+54 9 11 65105831,cliente21534@ejemplo.com,2025-05-01
33247,Calle Falsa 749,-34.54687979817456,-58.384525991663324,+54 9 11 65848857,cliente33247@ejemplo.com,2025-05-01
73704,Calle Falsa 764,-34.61076283323326,-58.43019914564433,+54 9 11 74525468,cliente73704@ejemplo.com,2025-05-01
61214,Calle Falsa 813,-34.58556995075283,-58.41353844000612,+54 9 11 33717335,cliente61214@ejemplo.com,2025-05-01
58190,Calle Falsa 139,-34.58776647422319,-58.3872738978331,+54 9 11 48334882,cliente58190@ejemplo.com,2025-05-01
22666,Calle Falsa 773,-34.6181344133716,-58.39576825975348,+54 9 11 47407771,cliente22666@ejemplo.com,2025-05-01
