Fecha,Cliente,Dirección,Estado,Región,Método_venta,Producto,Género,Cantidad_entregas
2025-05-01,1000,Callejón Jose Ignacio Godoy 91,Buenos Aires,CABA,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1001,Calle de Amor Bueno 93,Córdoba,CABA,Online,Accesorios,Femenino,1
2025-05-01,1002,Paseo Simón Giménez 59,Buenos Aires,CABA,Online,Calzado deportivo,Masculino,1
2025-05-01,1003,Ronda Noé Lobo 63,Salta,NOA,Online,Accesorios,Masculino,1
2025-05-01,1004,C. Cleto Palomar 59,Salta,Cuyo,Online,Ropa deportiva,Otro,1
2025-05-01,1005,Paseo de Edelmiro Pinedo 9,Santa Fe,CABA,Online,Accesorios,Femenino,1
2025-05-01,1006,Camino de Gregorio Baños 4 Piso 1 ,Santa Fe,Litoral,Online,Calzado deportivo,Femenino,1
2025-05-01,1007,C. Leopoldo Santana 62,Buenos Aires,CABA,Tienda física,Calzado deportivo,Femenino,1
2025-05-01,1008,Callejón Judith Bellido 428 Apt. 76 ,Santa Fe,NOA,Tienda física,Calzado deportivo,Otro,1
2025-05-01,1009,Alameda Pía Barba 60 Piso 4 ,Mendoza,NOA,Online,Ropa deportiva,Masculino,1
2025-05-01,1010,Camino Sarita Miranda 77,Salta,Litoral,Tienda física,Accesorios,Masculino,1
2025-05-01,1011,Callejón Emilio Huerta 784 Puerta 6 ,Buenos Aires,CABA,Online,Ropa deportiva,Masculino,1
2025-05-01,1012,Vial Araceli Uriarte 1 Apt. 22 ,Córdoba,CABA,Tienda física,Ropa deportiva,Femenino,1
2025-05-01,1013,C. Rico Solé 148 Puerta 1 ,Santa Fe,Centro,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1014,Via de Lázaro Royo 17 Puerta 4 ,Santa Fe,CABA,Online,Accesorios,Otro,1
2025-05-01,1015,Cañada Prudencia Vera 632,Córdoba,Centro,Tienda física,Ropa deportiva,Femenino,1
2025-05-01,1016,Alameda Amaya Aliaga 6,Salta,Centro,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1017,Calle Jose Angel Bermúdez 8 Apt. 82 ,Buenos Aires,Litoral,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1018,Paseo de Fito Landa 496,Córdoba,NOA,Tienda física,Calzado deportivo,Otro,1
2025-05-01,1019,C. de Hilda Perea 88,Mendoza,Cuyo,Tienda física,Calzado deportivo,Femenino,1
2025-05-01,1020,Urbanización Bernardo Neira 9,Córdoba,Centro,Tienda física,Accesorios,Otro,1
2025-05-01,1021,Plaza Calisto Barral 11,Mendoza,NOA,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1022,Pasadizo Jordán Lopez 93 Apt. 99 ,Córdoba,NOA,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1023,Cuesta Noemí Ramírez 21 Puerta 6 ,Buenos Aires,Centro,Online,Accesorios,Femenino,1
2025-05-01,1024,Ronda de Adelia Balaguer 1 Piso 5 ,Salta,CABA,Tienda física,Ropa deportiva,Otro,1
2025-05-01,1025,Glorieta Goyo Sanabria 36,Mendoza,NOA,Tienda física,Accesorios,Masculino,1
2025-05-01,1026,Urbanización de Sandra Benet 28 Apt. 80 ,Buenos Aires,NOA,Tienda física,Accesorios,Femenino,1
2025-05-01,1027,Rambla Santos Torralba 73,Buenos Aires,Litoral,Tienda física,Calzado deportivo,Femenino,1
2025-05-01,1028,C. Abilio Portero 57,Buenos Aires,Litoral,Online,Accesorios,Masculino,1
2025-05-01,1029,Vial de Goyo Martin 90 Apt. 50 ,Santa Fe,NOA,Online,Calzado deportivo,Femenino,1
2025-05-01,1030,Pasadizo de Zaira Criado 9,Córdoba,NOA,Online,Accesorios,Femenino,1
2025-05-01,1031,Avenida Dulce Bayo 26,Mendoza,CABA,Online,Ropa deportiva,Femenino,1
2025-05-01,1032,Avenida Simón Yáñez 44,Córdoba,CABA,Online,Accesorios,Masculino,1
2025-05-01,1033,Callejón Ruy Castro 67 Apt. 07 ,Buenos Aires,Cuyo,Online,Accesorios,Masculino,1
2025-05-01,1034,Paseo Ignacio Velasco 62,Córdoba,Cuyo,Online,Ropa deportiva,Otro,1
2025-05-01,1035,Acceso Lucas Cruz 58,Salta,Cuyo,Online,Accesorios,Otro,1
2025-05-01,1036,Via de Selena Cañizares 21,Córdoba,Litoral,Tienda física,Accesorios,Otro,1
2025-05-01,1037,Cañada de Elodia Galvez 53,Santa Fe,Cuyo,Tienda física,Calzado deportivo,Masculino,1
2025-05-01,1038,Calle de Cirino Roda 10 Piso 2 ,Córdoba,CABA,Tienda física,Calzado deportivo,Otro,1
2025-05-01,1039,Pasaje Carmen Roma 201 Puerta 2 ,Salta,Centro,Online,Calzado deportivo,Masculino,1
2025-05-01,1040,Camino de Carmina Colomer 12,Buenos Aires,Centro,Online,Calzado deportivo,Femenino,1
2025-05-01,1041,Calle de Trini Pallarès 23 Piso 8 ,Buenos Aires,NOA,Online,Ropa deportiva,Otro,1
2025-05-01,1042,Urbanización Rosaura Cámara 16 Apt. 56 ,Mendoza,Centro,Online,Accesorios,Otro,1
2025-05-01,1043,Rambla de Mirta Campoy 80,Salta,Cuyo,Online,Ropa deportiva,Femenino,1
2025-05-01,1044,Pasaje Pancho Mayoral 13,Córdoba,CABA,Online,Accesorios,Femenino,1
2025-05-01,1045,Alameda de León Baños 95,Santa Fe,Cuyo,Tienda física,Ropa deportiva,Otro,1
2025-05-01,1046,Plaza de David Julián 59 Apt. 19 ,Buenos Aires,CABA,Online,Ropa deportiva,Otro,1
2025-05-01,1047,Alameda de Tristán Vidal 7 Puerta 3 ,Santa Fe,CABA,Online,Calzado deportivo,Masculino,1
2025-05-01,1048,Ronda Abel Vizcaíno 735 Apt. 59 ,Salta,Cuyo,Online,Ropa deportiva,Masculino,1
2025-05-01,1049,Cañada Anunciación Mendoza 75 Puerta 4 ,Santa Fe,Cuyo,Online,Calzado deportivo,Femenino,1
2025-05-01,1050,Ronda Graciana Pinilla 59,Salta,CABA,Online,Accesorios,Otro,1
2025-05-01,1051,Cañada Luciano Gallo 69 Piso 7 ,Buenos Aires,CABA,Online,Calzado deportivo,Femenino,1
2025-05-01,1052,Pasadizo Ainara Doménech 5 Puerta 9 ,Mendoza,Cuyo,Online,Ropa deportiva,Masculino,1
2025-05-01,1053,Urbanización Hortensia Menéndez 33 Apt. 03 ,Córdoba,Cuyo,Online,Ropa deportiva,Femenino,1
2025-05-01,1054,Pasaje Severino Ferreras 77 Apt. 20 ,Mendoza,Litoral,Tienda física,Accesorios,Otro,1
2025-05-01,1055,Urbanización de Gabriel Villaverde 90,Salta,Cuyo,Online,Calzado deportivo,Femenino,1
2025-05-01,1056,Pasaje Eliseo Sobrino 689,Córdoba,CABA,Online,Accesorios,Femenino,1
2025-05-01,1057,Paseo de Victor Manuel Cuenca 57 Apt. 48 ,Buenos Aires,CABA,Tienda física,Accesorios,Otro,1
2025-05-01,1058,Callejón Valerio Berenguer 53 Piso 5 ,Córdoba,CABA,Online,Calzado deportivo,Masculino,1
2025-05-01,1059,Vial Jerónimo Piñol 23,Salta,CABA,Online,Ropa deportiva,Masculino,1
2025-05-01,1060,Alameda de Candela Solano 40 Piso 6 ,Salta,Centro,Online,Accesorios,Masculino,1
2025-05-01,1061,Cuesta de Adolfo Ortiz 76,Mendoza,NOA,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1062,Urbanización de Leandro Ruano 70,Santa Fe,Centro,Tienda física,Ropa deportiva,Masculino,1
2025-05-01,1063,Rambla de Priscila Solsona 99 Apt. 69 ,Santa Fe,Cuyo,Tienda física,Calzado deportivo,Masculino,1
